race;interval;id;Rank;Bib;LastName;FirstName;Team;Nation;YOB;Sex;AgeClass;AcRank;NetTime;GunTime;Age;NetMins;GunMins
21k;10K;NA;NA;10113;NA;NA;"NA";"DEU";1976;M;M35;NA;"00:32:37";"NA";35;32.6167;NA
21k;complete;NA;39;5156;NA;NA;"Aarhus 1900";"DNK";1982;M;MH;29;"01:11:31";"01:11:34";29;71.5167;71.5667
21k;10K;NA;NA;5156;NA;NA;"Aarhus 1900";"DNK";1982;M;MH;NA;"00:32:54";"NA";29;32.9;NA
21k;complete;NA;40;F3;NA;NA;"Äthiopien";"ETH";1987;W;WH;2;"01:11:40";"01:11:40";24;71.6667;71.6667
21k;10K;NA;NA;F3;NA;NA;"Äthiopien";"ETH";1987;W;WH;NA;"00:32:54";"NA";24;32.9;NA
21k;complete;NA;41;44;NA;NA;"NA";"KEN";0;M;MH;30;"01:11:43";"01:11:43";2011;71.7167;71.7167
21k;complete;NA;42;11507;NA;NA;"Agf Atletik";"DEU";1985;M;MH;31;"01:12:18";"01:12:20";26;72.3;72.3333
21k;10K;NA;NA;11507;NA;NA;"Agf Atletik";"DEU";1985;M;MH;NA;"00:32:55";"NA";26;32.9167;NA
21k;complete;NA;43;19458;NA;NA;"Clator Cajacanarias Tenerife";"ESP";1975;M;M35;5;"01:12:30";"01:12:32";36;72.5;72.5333
21k;10K;NA;NA;19458;NA;NA;"Clator Cajacanarias Tenerife";"ESP";1975;M;M35;NA;"00:33:32";"NA";36;33.5333;NA
21k;complete;NA;44;14451;NA;NA;"Lsv Lok Arnstadt";"DEU";1984;M;MH;32;"01:12:38";"01:12:48";27;72.6333;72.8
21k;10K;NA;NA;14451;NA;NA;"Lsv Lok Arnstadt";"DEU";1984;M;MH;NA;"00:33:57";"NA";27;33.95;NA
21k;complete;NA;45;6959;NA;NA;"Sc Dhfk";"DEU";1987;M;MH;33;"01:12:54";"01:12:56";24;72.9;72.9333
21k;10K;NA;NA;6959;NA;NA;"Sc Dhfk";"DEU";1987;M;MH;NA;"00:34:05";"NA";24;34.0833;NA
21k;complete;NA;46;F15;NA;NA;"GBR";"GBR";1979;W;W30;1;"01:12:56";"01:12:56";32;72.9333;72.9333
21k;10K;NA;NA;F15;NA;NA;"GBR";"GBR";1979;W;W30;NA;"00:34:06";"NA";32;34.1;NA
21k;complete;NA;47;13633;NA;NA;"Tsg Gutsmuths Quedlinburg";"DEU";1967;M;M40;1;"01:12:56";"01:13:04";44;72.9333;73.0667
21k;10K;NA;NA;13633;NA;NA;"Tsg Gutsmuths Quedlinburg";"DEU";1967;M;M40;NA;"00:33:59";"NA";44;33.9833;NA
21k;complete;NA;48;4172;NA;NA;"OSC Berlin";"DEU";1970;M;M40;2;"01:13:00";"01:13:04";41;73;73.0667
21k;10K;NA;NA;4172;NA;NA;"OSC Berlin";"DEU";1970;M;M40;NA;"00:34:34";"NA";41;34.5667;NA
21k;complete;NA;49;12885;NA;NA;"LLG Luckenwalde E.v.";"DEU";1963;M;M45;1;"01:13:02";"01:13:05";48;73.0333;73.0833
21k;10K;NA;NA;12885;NA;NA;"LLG Luckenwalde E.v.";"DEU";1963;M;M45;NA;"00:34:06";"NA";48;34.1;NA
21k;complete;NA;50;13402;NA;NA;"Enhörna IF";"SWE";1985;M;MH;34;"01:13:15";"01:13:18";26;73.25;73.3
21k;10K;NA;NA;13402;NA;NA;"Enhörna IF";"SWE";1985;M;MH;NA;"00:33:52";"NA";26;33.8667;NA
21k;complete;NA;51;F4;NA;NA;"Österreich";"AUT";1979;W;W30;2;"01:13:22";"01:13:22";32;73.3667;73.3667
21k;10K;NA;NA;F4;NA;NA;"Österreich";"AUT";1979;W;W30;NA;"00:34:07";"NA";32;34.1167;NA
21k;complete;NA;52;45;NA;NA;"NA";"AUT";1980;M;M30;5;"01:13:26";"01:13:26";31;73.4333;73.4333
21k;10K;NA;NA;45;NA;NA;"NA";"AUT";1980;M;M30;NA;"00:34:06";"NA";31;34.1;NA
21k;complete;NA;53;46;NA;NA;"NA";"GBR";1981;M;M30;6;"01:13:40";"01:13:40";30;73.6667;73.6667
21k;10K;NA;NA;46;NA;NA;"NA";"GBR";1981;M;M30;NA;"00:34:06";"NA";30;34.1;NA
21k;complete;NA;54;19223;NA;NA;"BORN2RUN";"ITA";1974;M;M35;6;"01:13:53";"01:13:56";37;73.8833;73.9333
21k;10K;NA;NA;19223;NA;NA;"BORN2RUN";"ITA";1974;M;M35;NA;"00:34:04";"NA";37;34.0667;NA
21k;complete;NA;55;14743;NA;NA;"Enhörna";"SWE";1981;M;M30;7;"01:13:53";"01:14:00";30;73.8833;74
21k;10K;NA;NA;14743;NA;NA;"Enhörna";"SWE";1981;M;M30;NA;"00:34:30";"NA";30;34.5;NA
21k;complete;NA;56;17852;NA;NA;"LTC Berlin";"DEU";1981;M;M30;8;"01:14:09";"01:14:16";30;74.15;74.2667
21k;10K;NA;NA;17852;NA;NA;"LTC Berlin";"DEU";1981;M;M30;NA;"00:34:34";"NA";30;34.5667;NA
21k;complete;NA;57;8899;NA;NA;"Runners World Tarragona";"COL";1980;M;M30;9;"01:14:24";"01:14:29";31;74.4;74.4833
21k;10K;NA;NA;8899;NA;NA;"Runners World Tarragona";"COL";1980;M;M30;NA;"00:34:03";"NA";31;34.05;NA
21k;complete;NA;58;8397;NA;NA;"Ac Slovan Liberec";"CZE";1985;M;MH;35;"01:14:31";"01:14:33";26;74.5167;74.55
21k;10K;NA;NA;8397;NA;NA;"Ac Slovan Liberec";"CZE";1985;M;MH;NA;"00:34:11";"NA";26;34.1833;NA
21k;complete;NA;59;18619;NA;NA;"Qt8";"EGY";1961;M;M50;1;"01:14:40";"01:14:46";50;74.6667;74.7667
21k;10K;NA;NA;18619;NA;NA;"Qt8";"EGY";1961;M;M50;NA;"00:35:18";"NA";50;35.3;NA
21k;complete;NA;60;11842;NA;NA;"Stade Bordelais";"FRA";1977;M;M30;10;"01:14:42";"01:14:44";34;74.7;74.7333
21k;10K;NA;NA;11842;NA;NA;"Stade Bordelais";"FRA";1977;M;M30;NA;"00:33:33";"NA";34;33.55;NA
21k;complete;NA;61;3859;NA;NA;"Enhörna IF";"SWE";1982;M;MH;36;"01:14:43";"01:14:50";29;74.7167;74.8333
21k;10K;NA;NA;3859;NA;NA;"Enhörna IF";"SWE";1982;M;MH;NA;"00:35:11";"NA";29;35.1833;NA
21k;complete;NA;62;17177;NA;NA;"NA";"DNK";1974;M;M35;7;"01:14:43";"01:14:46";37;74.7167;74.7667
21k;10K;NA;NA;17177;NA;NA;"NA";"DNK";1974;M;M35;NA;"00:34:05";"NA";37;34.0833;NA
21k;complete;NA;63;F5;NA;NA;"Ts Aks Chorzow";"POL";1977;W;W30;3;"01:14:57";"01:14:57";34;74.95;74.95
21k;10K;NA;NA;F5;NA;NA;"Ts Aks Chorzow";"POL";1977;W;W30;NA;"00:34:42";"NA";34;34.7;NA
21k;complete;NA;64;16121;NA;NA;"Leeds University AC\/CC Club";"GBR";1990;M;MH;37;"01:15:01";"01:15:07";21;75.0167;75.1167
21k;10K;NA;NA;16121;NA;NA;"Leeds University AC\/CC Club";"GBR";1990;M;MH;NA;"00:35:09";"NA";21;35.15;NA
21k;complete;NA;65;13733;NA;NA;"Aarhus 1900";"DNK";1964;M;M45;2;"01:15:07";"01:15:13";47;75.1167;75.2167
21k;10K;NA;NA;13733;NA;NA;"Aarhus 1900";"DNK";1964;M;M45;NA;"00:34:59";"NA";47;34.9833;NA
21k;complete;NA;66;13677;NA;NA;"La Fulminea Running Team";"ITA";1972;M;M35;8;"01:15:20";"01:15:23";39;75.3333;75.3833
21k;10K;NA;NA;13677;NA;NA;"La Fulminea Running Team";"ITA";1972;M;M35;NA;"00:34:38";"NA";39;34.6333;NA
21k;complete;NA;67;F8;NA;NA;"LC Erfurt";"DEU";1979;W;W30;4;"01:15:24";"01:15:24";32;75.4;75.4
21k;10K;NA;NA;F8;NA;NA;"LC Erfurt";"DEU";1979;W;W30;NA;"00:35:15";"NA";32;35.25;NA
21k;complete;NA;68;13311;NA;NA;"Laz Puma Troisdorf Siegburg";"DEU";1957;M;M50;2;"01:15:24";"01:15:26";54;75.4;75.4333
21k;10K;NA;NA;13311;NA;NA;"Laz Puma Troisdorf Siegburg";"DEU";1957;M;M50;NA;"00:35:43";"NA";54;35.7167;NA
21k;complete;NA;69;19066;NA;NA;"RUNNERS CORNER";"DNK";1971;M;M40;3;"01:15:41";"01:15:47";40;75.6833;75.7833
21k;10K;NA;NA;19066;NA;NA;"RUNNERS CORNER";"DNK";1971;M;M40;NA;"00:35:10";"NA";40;35.1667;NA
21k;complete;NA;70;8014;NA;NA;"McDonald´s Erfurt";"DEU";1987;M;MH;38;"01:15:42";"01:15:53";24;75.7;75.8833
21k;10K;NA;NA;8014;NA;NA;"McDonald´s Erfurt";"DEU";1987;M;MH;NA;"00:35:16";"NA";24;35.2667;NA
21k;complete;NA;71;F10;NA;NA;"Slowakei";"SVK";1987;W;WH;3;"01:15:50";"01:15:50";24;75.8333;75.8333
21k;10K;NA;NA;F10;NA;NA;"Slowakei";"SVK";1987;W;WH;NA;"00:35:32";"NA";24;35.5333;NA
21k;complete;NA;72;2522;NA;NA;"Kissingen Sv Berlin";"DEU";1970;M;M40;4;"01:15:51";"01:16:04";41;75.85;76.0667
21k;10K;NA;NA;2522;NA;NA;"Kissingen Sv Berlin";"DEU";1970;M;M40;NA;"00:35:36";"NA";41;35.6;NA
21k;complete;NA;73;16444;NA;NA;"Lg Kreis Verden";"DEU";1982;M;MH;39;"01:15:52";"01:15:56";29;75.8667;75.9333
21k;10K;NA;NA;16444;NA;NA;"Lg Kreis Verden";"DEU";1982;M;MH;NA;"00:36:06";"NA";29;36.1;NA
21k;complete;NA;74;16554;NA;NA;"Osi";"NOR";1979;M;M30;11;"01:15:52";"01:15:57";32;75.8667;75.95
21k;10K;NA;NA;16554;NA;NA;"Osi";"NOR";1979;M;M30;NA;"00:35:46";"NA";32;35.7667;NA
21k;complete;NA;75;F6;NA;NA;"PSV Grün-Weiß Kassel";"DEU";1984;W;WH;4;"01:15:58";"01:15:58";27;75.9667;75.9667
21k;10K;NA;NA;F6;NA;NA;"PSV Grün-Weiß Kassel";"DEU";1984;W;WH;NA;"00:34:30";"NA";27;34.5;NA
21k;complete;NA;76;18983;NA;NA;"Polizeischule Slupsk";"POL";1969;M;M40;5;"01:16:14";"01:16:18";42;76.2333;76.3
21k;10K;NA;NA;18983;NA;NA;"Polizeischule Slupsk";"POL";1969;M;M40;NA;"00:35:28";"NA";42;35.4667;NA
21k;complete;NA;77;8018;NA;NA;"Mob Bikes";"DEU";1984;M;MH;40;"01:16:15";"01:16:22";27;76.25;76.3667
21k;10K;NA;NA;8018;NA;NA;"Mob Bikes";"DEU";1984;M;MH;NA;"00:34:50";"NA";27;34.8333;NA
21k;complete;NA;78;19227;NA;NA;"Polizeischule Slupsk";"POL";1979;M;M30;12;"01:16:15";"01:16:17";32;76.25;76.2833
21k;10K;NA;NA;19227;NA;NA;"Polizeischule Slupsk";"POL";1979;M;M30;NA;"00:33:57";"NA";32;33.95;NA
21k;complete;NA;79;10324;NA;NA;"NA";"AUT";1963;M;M45;3;"01:16:16";"01:16:18";48;76.2667;76.3
21k;10K;NA;NA;10324;NA;NA;"NA";"AUT";1963;M;M45;NA;"00:34:54";"NA";48;34.9;NA
21k;complete;NA;80;8641;NA;NA;"NA";"BEL";1980;M;M30;13;"01:16:18";"01:16:48";31;76.3;76.8
21k;10K;NA;NA;8641;NA;NA;"NA";"BEL";1980;M;M30;NA;"00:34:47";"NA";31;34.7833;NA
21k;complete;NA;81;6381;NA;NA;"Psb 24";"DEU";1967;M;M40;6;"01:16:23";"01:16:27";44;76.3833;76.45
21k;10K;NA;NA;6381;NA;NA;"Psb 24";"DEU";1967;M;M40;NA;"00:35:42";"NA";44;35.7;NA
21k;complete;NA;82;13337;NA;NA;"AK 73";"DNK";1975;M;M35;9;"01:16:26";"01:16:34";36;76.4333;76.5667
21k;10K;NA;NA;13337;NA;NA;"AK 73";"DNK";1975;M;M35;NA;"00:35:46";"NA";36;35.7667;NA
21k;complete;NA;83;17439;NA;NA;"TRIVALLE CAJACANARIAS";"ESP";1976;M;M35;10;"01:16:30";"01:16:34";35;76.5;76.5667
21k;10K;NA;NA;17439;NA;NA;"TRIVALLE CAJACANARIAS";"ESP";1976;M;M35;NA;"00:34:19";"NA";35;34.3167;NA
21k;complete;NA;84;6248;NA;NA;"LSV Lok Arnstadt";"DEU";1987;M;MH;41;"01:16:39";"01:16:49";24;76.65;76.8167
21k;10K;NA;NA;6248;NA;NA;"LSV Lok Arnstadt";"DEU";1987;M;MH;NA;"00:35:07";"NA";24;35.1167;NA
21k;complete;NA;85;17619;NA;NA;"Rt Schweighouse";"DEU";1982;M;MH;42;"01:16:45";"01:16:50";29;76.75;76.8333
21k;10K;NA;NA;17619;NA;NA;"Rt Schweighouse";"DEU";1982;M;MH;NA;"00:35:39";"NA";29;35.65;NA
21k;complete;NA;86;14653;NA;NA;"Hamburger SV";"DEU";1977;M;M30;14;"01:16:47";"01:16:54";34;76.7833;76.9
21k;10K;NA;NA;14653;NA;NA;"Hamburger SV";"DEU";1977;M;M30;NA;"00:35:55";"NA";34;35.9167;NA
21k;complete;NA;87;11856;NA;NA;"Serpentine Rc";"GBR";1975;M;M35;11;"01:16:51";"01:16:53";36;76.85;76.8833
21k;10K;NA;NA;11856;NA;NA;"Serpentine Rc";"GBR";1975;M;M35;NA;"00:35:40";"NA";36;35.6667;NA
21k;complete;NA;88;3197;NA;NA;"Bagsværd Atletik Club";"DNK";1967;M;M40;7;"01:16:53";"01:17:00";44;76.8833;77
21k;10K;NA;NA;3197;NA;NA;"Bagsværd Atletik Club";"DNK";1967;M;M40;NA;"00:35:46";"NA";44;35.7667;NA
21k;complete;NA;89;9661;NA;NA;"Villa Purzelbaum Mainz";"DEU";1977;M;M30;15;"01:17:03";"01:17:06";34;77.05;77.1
21k;10K;NA;NA;9661;NA;NA;"Villa Purzelbaum Mainz";"DEU";1977;M;M30;NA;"00:35:12";"NA";34;35.2;NA
21k;complete;NA;90;5934;NA;NA;"Enhörna IF";"SWE";1975;M;M35;12;"01:17:04";"01:17:12";36;77.0667;77.2
21k;10K;NA;NA;5934;NA;NA;"Enhörna IF";"SWE";1975;M;M35;NA;"00:35:12";"NA";36;35.2;NA
21k;complete;NA;91;3300;NA;NA;"FH Runners Berlin";"DEU";1987;M;MH;43;"01:17:09";"01:17:31";24;77.15;77.5167
21k;10K;NA;NA;3300;NA;NA;"FH Runners Berlin";"DEU";1987;M;MH;NA;"00:36:14";"NA";24;36.2333;NA
21k;complete;NA;92;9000;NA;NA;"Bjerringbro Atletik & Motion";"DNK";1968;M;M40;8;"01:17:11";"01:17:19";43;77.1833;77.3167
21k;10K;NA;NA;9000;NA;NA;"Bjerringbro Atletik & Motion";"DNK";1968;M;M40;NA;"00:36:06";"NA";43;36.1;NA
21k;complete;NA;93;11947;NA;NA;"NA";"DEU";1989;M;MH;44;"01:17:15";"01:17:18";22;77.25;77.3
21k;10K;NA;NA;11947;NA;NA;"NA";"DEU";1989;M;MH;NA;"00:36:25";"NA";22;36.4167;NA
21k;complete;NA;94;12250;NA;NA;"LG Reinbek-Ohe";"DEU";1980;M;M30;16;"01:17:19";"01:17:22";31;77.3167;77.3667
21k;10K;NA;NA;12250;NA;NA;"LG Reinbek-Ohe";"DEU";1980;M;M30;NA;"00:34:03";"NA";31;34.05;NA
21k;complete;NA;95;18153;NA;NA;"Mrrc";"DEU";1974;M;M35;13;"01:17:20";"01:17:24";37;77.3333;77.4
21k;10K;NA;NA;18153;NA;NA;"Mrrc";"DEU";1974;M;M35;NA;"00:35:34";"NA";37;35.5667;NA
21k;complete;NA;96;F7;NA;NA;"LAZ Salamander Kornwestheim-Lu";"DEU";1985;W;WH;5;"01:17:22";"01:17:22";26;77.3667;77.3667
21k;10K;NA;NA;F7;NA;NA;"LAZ Salamander Kornwestheim-Lu";"DEU";1985;W;WH;NA;"00:35:30";"NA";26;35.5;NA
21k;complete;NA;97;12609;NA;NA;"Polizei Berlin";"DEU";1985;M;MH;45;"01:17:22";"01:17:25";26;77.3667;77.4167
21k;10K;NA;NA;12609;NA;NA;"Polizei Berlin";"DEU";1985;M;MH;NA;"00:34:36";"NA";26;34.6;NA
21k;complete;NA;98;17275;NA;NA;"LTC Berlin";"DEU";1963;M;M45;4;"01:17:27";"01:17:30";48;77.45;77.5
21k;10K;NA;NA;17275;NA;NA;"LTC Berlin";"DEU";1963;M;M45;NA;"00:36:12";"NA";48;36.2;NA
21k;complete;NA;99;14951;NA;NA;"Lag Nö Mitte";"AUT";1978;M;M30;17;"01:17:29";"01:17:35";33;77.4833;77.5833
21k;10K;NA;NA;14951;NA;NA;"Lag Nö Mitte";"AUT";1978;M;M30;NA;"00:35:25";"NA";33;35.4167;NA
21k;complete;NA;100;11968;NA;NA;"Möllner SV";"DEU";1991;M;MH;46;"01:17:32";"01:17:38";20;77.5333;77.6333
21k;10K;NA;NA;11968;NA;NA;"Möllner SV";"DEU";1991;M;MH;NA;"00:35:24";"NA";20;35.4;NA
21k;complete;NA;101;7810;NA;NA;"Sc Hoyerswerda, Red Caps";"DEU";1957;M;M50;3;"01:17:33";"01:17:46";54;77.55;77.7667
21k;10K;NA;NA;7810;NA;NA;"Sc Hoyerswerda, Red Caps";"DEU";1957;M;M50;NA;"00:36:56";"NA";54;36.9333;NA
21k;complete;NA;102;6476;NA;NA;"LC Rapid Dortmund";"DEU";1969;M;M40;9;"01:17:36";"01:17:44";42;77.6;77.7333
21k;10K;NA;NA;6476;NA;NA;"LC Rapid Dortmund";"DEU";1969;M;M40;NA;"00:34:32";"NA";42;34.5333;NA
