race;interval;id;Rank;Bib;LastName;FirstName;Team;Nation;YOB;Sex;AgeClass;AcRank;NetTime;GunTime;Age;NetMins;GunMins
21k;complete;NA;11688;9894;NA;NA;"NA";"GER";1970;M;40;1364;"02:01:25";"02:13:41";44;121.4167;133.6833
21k;complete;NA;4010;8623;NA;NA;"IGSW";"GER";1971;M;40;576;"01:44:03";"01:47:03";43;104.05;107.05
21k;complete;NA;15014;17736;NA;NA;"Bechener Laufhirsche";"GER";1960;M;50;1458;"02:09:38";"02:30:30";54;129.6333;150.5
21k;complete;NA;1111;15498;NA;NA;"Gold";"GER";1973;M;40;169;"01:31:28";"01:32:25";41;91.4667;92.4167
21k;complete;NA;1560;5643;NA;NA;"NA";"SUI";1974;M;40;244;"01:34:29";"01:36:33";40;94.4833;96.55
21k;complete;NA;11106;20136;NA;NA;"BSC";"GER";1973;M;40;1307;"02:00:09";"02:14:56";41;120.15;134.9333
21k;complete;NA;2388;14701;NA;NA;"Is Göta";"SWE";1974;M;40;341;"01:38:18";"01:40:10";40;98.3;100.1667
21k;complete;NA;7872;5862;NA;NA;"Roklubben Stevns";"DEN";1972;M;40;1004;"01:53:41";"02:21:28";42;113.6833;141.4667
21k;complete;NA;2447;15841;NA;NA;"NA";"GER";1973;M;40;350;"01:38:28";"01:44:03";41;98.4667;104.05
21k;complete;NA;11277;7444;NA;NA;"Team Bergflenning";"NOR";1972;M;40;1328;"02:00:28";"02:28:02";42;120.4667;148.0333
21k;complete;NA;20110;4106;NA;NA;"NA";"GER";1972;M;40;1899;"02:28:55";"02:57:04";42;148.9167;177.0667
21k;complete;NA;4551;20214;NA;NA;"NA";"GER";1971;M;40;652;"01:45:32";"01:52:31";43;105.5333;112.5167
21k;complete;NA;11635;6305;NA;NA;"NA";"NED";1974;M;40;1361;"02:01:16";"02:37:25";40;121.2667;157.4167
21k;complete;NA;11210;18974;NA;NA;"NA";"GER";1971;M;40;1320;"02:00:20";"02:07:28";43;120.3333;127.4667
21k;complete;NA;8671;15190;NA;NA;"NA";"GER";1971;M;40;1084;"01:55:21";"02:07:54";43;115.35;127.9
21k;complete;NA;19043;11477;NA;NA;"NA";"LUX";1972;M;40;1828;"02:23:29";"02:50:04";42;143.4833;170.0667
21k;complete;NA;14774;10722;NA;NA;"NA";"GER";1972;M;40;1600;"02:08:58";"02:41:02";42;128.9667;161.0333
21k;complete;NA;11519;6045;NA;NA;"NA";"GBR";1974;M;40;1354;"02:01:00";"02:35:39";40;121;155.65
21k;complete;NA;21848;3730;NA;NA;"NA";"DEN";1974;M;40;1978;"02:48:35";"03:05:51";40;168.5833;185.85
21k;complete;NA;12973;3936;NA;NA;"NA";"GRE";1970;M;40;1465;"02:04:28";"02:36:09";44;124.4667;156.15
21k;complete;NA;5570;13220;NA;NA;"Quartalsläufer";"GER";1963;M;50;574;"01:48:11";"01:50:33";51;108.1833;110.55
21k;complete;NA;2112;10839;NA;NA;"NA";"GER";1970;M;40;310;"01:37:12";"01:43:48";44;97.2;103.8
21k;complete;NA;11742;21344;NA;NA;"Run Pack Berlin";"GER";1971;M;40;1369;"02:01:34";"02:14:52";43;121.5667;134.8667
21k;complete;NA;9212;17138;NA;NA;"NA";"DEN";1974;M;40;1140;"01:56:31";"02:15:02";40;116.5167;135.0333
21k;complete;NA;13302;9792;NA;NA;"Dithmarscher";"GER";1973;M;40;1489;"02:05:15";"02:10:23";41;125.25;130.3833
21k;complete;NA;20775;5094;NA;NA;"NA";"GBR";1973;M;40;1928;"02:33:43";"02:59:35";41;153.7167;179.5833
21k;complete;NA;4382;14109;NA;NA;"Tv Mesum";"GER";1971;M;40;622;"01:45:03";"01:46:26";43;105.05;106.4333
21k;complete;NA;8787;7571;NA;NA;"Craemer Fun Runner";"GER";1971;M;40;1103;"01:55:35";"01:58:17";43;115.5833;118.2833
21k;complete;NA;289;19938;NA;NA;"NA";"GER";1964;M;50;13;"01:22:57";"01:23:32";50;82.95;83.5333
21k;complete;NA;8439;19029;NA;NA;"NA";"GER";1970;M;40;1065;"01:54:52";"02:14:58";44;114.8667;134.9667
21k;complete;NA;19452;9447;NA;NA;"NA";"GER";1971;M;40;1854;"02:25:31";"02:58:13";43;145.5167;178.2167
21k;complete;NA;11301;18607;NA;NA;"Night Warriors";"ITA";1972;M;40;1331;"02:00:31";"02:25:58";42;120.5167;145.9667
21k;complete;NA;21141;14399;NA;NA;"NA";"GER";1973;M;40;1948;"02:36:50";"03:12:08";41;156.8333;192.1333
21k;complete;NA;7154;19750;NA;NA;"Das Aktuelle Fitness-Studio";"GER";1972;M;40;933;"01:52:07";"02:09:46";42;112.1167;129.7667
21k;complete;NA;7551;21566;NA;NA;"NA";"AUT";1972;M;40;974;"01:53:03";"01:58:38";42;113.05;118.6333
21k;complete;NA;5294;4098;NA;NA;"NA";"GER";1964;M;50;541;"01:47:30";"02:00:20";50;107.5;120.3333
21k;complete;NA;19920;18545;NA;NA;"NA";"GER";1974;M;40;1887;"02:27:55";"03:00:12";40;147.9167;180.2
21k;complete;NA;18598;12998;NA;NA;"NA";"POL";1973;M;40;1806;"02:21:39";"02:49:40";41;141.65;169.6667
21k;complete;NA;17655;11529;NA;NA;"NA";"GER";1972;M;40;1753;"02:17:35";"02:34:07";42;137.5833;154.1167
21k;complete;NA;13291;F4035;NA;NA;"NA";"GER";1957;W;55;104;"02:05:13";"02:20:16";57;125.2167;140.2667
21k;complete;NA;4113;13259;NA;NA;"NA";"GER";1971;M;40;586;"01:44:22";"02:01:40";43;104.3667;121.6667
21k;complete;NA;3880;6746;NA;NA;"NA";"GER";1973;M;40;565;"01:43:39";"01:46:59";41;103.65;106.9833
21k;complete;NA;8856;6073;NA;NA;"Kkk";"GER";1974;M;40;1110;"01:55:46";"02:10:05";40;115.7667;130.0833
21k;complete;NA;1480;17849;NA;NA;"NA";"GER";1973;M;40;230;"01:34:07";"01:34:46";41;94.1167;94.7667
21k;complete;NA;7264;9159;NA;NA;"NA";"GER";1971;M;40;948;"01:52:23";"02:06:08";43;112.3833;126.1333
21k;complete;NA;18662;4506;NA;NA;"NA";"GER";1973;M;40;1809;"02:21:56";"02:56:07";41;141.9333;176.1167
21k;complete;NA;400;6756;NA;NA;"LT MTV Treubund Lüneburg";"GER";1961;M;50;17;"01:24:36";"01:24:44";53;84.6;84.7333
21k;complete;NA;13698;4303;NA;NA;"NA";"GBR";1972;M;40;1532;"02:06:12";"02:24:52";42;126.2;144.8667
21k;complete;NA;892;4273;NA;NA;"Sportmedizin Reutl. www.sportm";"GER";1973;M;40;136;"01:29:43";"01:32:19";41;89.7167;92.3167
21k;complete;NA;16514;12304;NA;NA;"Die Kammerläufer";"GER";1972;M;40;1687;"02:13:59";"02:33:36";42;133.9833;153.6
21k;complete;NA;11821;10198;NA;NA;"Memler de";"GER";1970;M;40;1374;"02:01:45";"02:14:01";44;121.75;134.0167
21k;complete;NA;6586;7018;NA;NA;"Koserow";"GER";1971;M;40;864;"01:50:36";"02:06:48";43;110.6;126.8
21k;complete;NA;17297;18615;NA;NA;"interforze";"ITA";1972;M;40;1737;"02:16:28";"02:45:35";42;136.4667;165.5833
21k;complete;NA;7538;9107;NA;NA;"NA";"GER";1974;M;40;972;"01:53:01";"02:06:29";40;113.0167;126.4833
21k;complete;NA;6902;20609;NA;NA;"NA";"GER";1964;M;50;728;"01:51:32";"02:23:09";50;111.5333;143.15
21k;complete;NA;3450;20373;NA;NA;"NA";"DEN";1971;M;40;493;"01:42:13";"01:45:47";43;102.2167;105.7833
21k;complete;NA;20581;11719;NA;NA;"NA";"GER";1970;M;40;1918;"02:32:10";"03:05:31";44;152.1667;185.5167
21k;complete;NA;13418;3707;NA;NA;"NA";"NED";1974;M;40;1502;"02:05:32";"02:34:49";40;125.5333;154.8167
21k;complete;NA;19104;9500;NA;NA;"MTV 1848 Hildesheim";"GER";1961;M;50;1768;"02:23:47";"02:56:16";53;143.7833;176.2667
21k;complete;NA;13726;20532;NA;NA;"DAV Berlin";"GER";1971;M;40;1535;"02:06:17";"02:25:06";43;126.2833;145.1
21k;complete;NA;2854;14598;NA;NA;"NA";"GER";1972;M;40;407;"01:39:59";"01:45:28";42;99.9833;105.4667
21k;complete;NA;3402;12163;NA;NA;"P'Berg";"GER";1972;M;40;487;"01:42:00";"01:46:43";42;102;106.7167
21k;complete;NA;8556;12084;NA;NA;"Die Schrankenwärter";"GER";1971;M;40;1076;"01:55:07";"02:09:12";43;115.1167;129.2
21k;complete;NA;7065;12905;NA;NA;"Malerfirma Andreas Hase";"GER";1971;M;40;926;"01:51:55";"02:08:39";43;111.9167;128.65
21k;complete;NA;8742;8199;NA;NA;"Polisport Ciclo Club FASANO";"ITA";1973;M;40;1094;"01:55:30";"02:07:33";41;115.5;127.55
21k;complete;NA;17171;19561;NA;NA;"NA";"GER";1962;M;50;1646;"02:16:02";"02:47:59";52;136.0333;167.9833
21k;complete;NA;7786;17529;NA;NA;"Sophie Mackartor";"GER";1970;M;40;996;"01:53:31";"02:09:17";44;113.5167;129.2833
21k;complete;NA;3505;21069;NA;NA;"KB MANIAC POZNAN";"POL";1974;M;40;499;"01:42:26";"01:46:48";40;102.4333;106.8
21k;complete;NA;8598;6569;NA;NA;"NA";"GER";1971;M;40;1078;"01:55:12";"02:01:35";43;115.2;121.5833
21k;complete;NA;10362;14466;NA;NA;"NA";"GER";1973;M;40;1247;"01:58:49";"02:19:08";41;118.8167;139.1333
21k;complete;NA;11517;17119;NA;NA;"NA";"GER";1972;M;40;1353;"02:01:00";"02:16:55";42;121;136.9167
21k;complete;NA;18488;14952;NA;NA;"NA";"GER";1970;M;40;1800;"02:21:04";"02:56:30";44;141.0667;176.5
21k;complete;NA;7187;20405;NA;NA;"NA";"ITA";1974;M;40;940;"01:52:12";"02:19:47";40;112.2;139.7833
21k;complete;NA;3820;6895;NA;NA;"tip";"GER";1964;M;50;389;"01:43:26";"01:51:23";50;103.4333;111.3833
21k;complete;NA;10899;14358;NA;NA;"NA";"GER";1971;M;40;1296;"01:59:47";"02:26:59";43;119.7833;146.9833
21k;complete;NA;4487;19375;NA;NA;"Tsg Holzhausen";"GER";1972;M;40;639;"01:45:21";"01:53:36";42;105.35;113.6
21k;complete;NA;8320;18391;NA;NA;"Lf Nosch 13";"GER";1970;M;40;1051;"01:54:36";"02:20:53";44;114.6;140.8833
21k;complete;NA;3808;16034;NA;NA;"NA";"DEN";1974;M;40;550;"01:43:24";"01:49:41";40;103.4;109.6833
21k;complete;NA;1952;18798;NA;NA;"No Limits!";"GER";1973;M;40;287;"01:36:25";"01:37:28";41;96.4167;97.4667
21k;complete;NA;529;2134;NA;NA;"SG BMF 07";"GER";1974;M;40;74;"01:26:12";"01:27:59";40;86.2;87.9833
21k;complete;NA;10686;11373;NA;NA;"Joe and Go";"GER";1961;M;50;1108;"01:59:24";"02:12:26";53;119.4;132.4333
21k;complete;NA;1270;11086;NA;NA;"NA";"IRL";1972;M;40;201;"01:32:46";"01:33:30";42;92.7667;93.5
21k;complete;NA;3364;9420;NA;NA;"NA";"NED";1970;M;40;478;"01:41:51";"01:46:20";44;101.85;106.3333
21k;complete;NA;1600;14961;NA;NA;"NA";"GER";1970;M;40;246;"01:34:42";"01:35:30";44;94.7;95.5
21k;complete;NA;13506;7614;NA;NA;"NA";"GER";1974;M;40;1512;"02:05:45";"02:26:22";40;125.75;146.3667
21k;complete;NA;17715;20425;NA;NA;"NA";"GER";1970;M;40;1759;"02:17:50";"02:46:55";44;137.8333;166.9167
21k;complete;NA;7624;6644;NA;NA;"NA";"GER";1973;M;40;984;"01:53:11";"02:07:10";41;113.1833;127.1667
21k;complete;NA;10225;20426;NA;NA;"NA";"GER";1970;M;40;1239;"01:58:34";"02:06:31";44;118.5667;126.5167
21k;complete;NA;9649;17782;NA;NA;"NA";"GER";1972;M;40;1174;"01:57:23";"02:06:03";42;117.3833;126.05
21k;complete;NA;18269;6462;NA;NA;"SC Hoyerswerda Red Caps";"GER";1970;M;40;1794;"02:20:06";"02:47:46";44;140.1;167.7667
21k;complete;NA;2610;20249;NA;NA;"NA";"GER";1970;M;40;372;"01:39:06";"01:41:44";44;99.1;101.7333
21k;complete;NA;3174;8583;NA;NA;"NA";"GER";1972;M;40;452;"01:41:12";"02:07:30";42;101.2;127.5
21k;complete;NA;12345;15808;NA;NA;"Tri Sport Schwerin";"GER";1971;M;40;1414;"02:03:00";"02:16:46";43;123;136.7667
21k;complete;NA;13505;11383;NA;NA;"NA";"GER";1973;M;40;1511;"02:05:44";"02:32:57";41;125.7333;152.95
21k;complete;NA;2796;15483;NA;NA;"NA";"GER";1974;M;40;400;"01:39:46";"01:42:41";40;99.7667;102.6833
21k;complete;NA;17675;11666;NA;NA;"NA";"GER";1972;M;40;1754;"02:17:39";"02:38:15";42;137.65;158.25
